"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"send POST request to create a new expense and verify the response and status code.","16","API_02: Create New Expense (Status 201)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Update the amount of an existing expense from 150 to 200 using PUT","6","API_05: Update Expense (PUT)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Delete an expense using DELETE on its ID","7","API_06: Delete Expense","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Creates an expense on the web UI, reads it back from the DOM elements, then POSTs to JSON server and INSERTs to SQLite using the extracted data.","5976","E2E: Web UI → Extract Data → Insert to API + DB","tests","Sun Apr 12 21:02:56 UTC 2026","passed","Sun Apr 12 21:03:02 UTC 2026","TestE2EWebApiDbExpenseTracker","test_e2e_web_api_db","",""
"Attempting to create an expense without required fields and validation the server returns an error","13","BUG: API_09: Negative - Create Expense with Missing Fields","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
"Creates an expense with a negative amount (-50) on the Web UI. The UI accepts it (bug). Then attempts to INSERT the extracted data into MySQL, which rejects it via CHECK (amount >= 0) constraint.","5288","E2E Negative: Web UI accepts negative amount → MySQL blocks INSERT","tests","Sun Apr 12 21:02:44 UTC 2026","passed","Sun Apr 12 21:02:49 UTC 2026","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"Fetches real-time EUR to USD conversion rate via API, calculates the expense, and adds it","5208","Verify expense creation with real-time API conversion","tests.web","Sun Apr 12 21:03:52 UTC 2026","passed","Sun Apr 12 21:03:57 UTC 2026","TestWeb","test_web_expense","",""
"This test verifies that a new expense can be added to the tracker","5116","Create a new expense via Web UI","tests.web","Sun Apr 12 21:03:21 UTC 2026","passed","Sun Apr 12 21:03:26 UTC 2026","TestWeb","test_web_expense","",""
"Creates an expense via API, simulates backend write to SQLite, verifies data integrity across layers, and cleans up.","139","API → DB: Create expense via API and verify in SQLite","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestDBAPI","test_db_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","13","API_03: Data Driven Testing (Multiple Items)","tests.api","Sun Apr 12 21:02:40 UTC 2026","passed","Sun Apr 12 21:02:40 UTC 2026","TestAPI","test_api_expense","",""
